Delegado;Memoria;Valores;;;
delegado 82: ;1.3;4,14E+15;;;
delegado 83: ;1.3;3,98E+15;;;
delegado 84: ;1.3;4,05E+15;;;
delegado 85: ;5.4;4,03E+15;;;
delegado 86: ;5.4;4,73E+15;;;
delegado 87: ;5.4;4,73E+15;;;
delegado 88: ;5.7;4,77E+15;;;
delegado 89: ;5.7;3,96E+15;;;
delegado 90: ;5.7;4,73E+15;;;
delegado 91: ;2.2;4,59E+15;;;
delegado 92: ;2.2;4,64E+15;;;
delegado 93: ;2.2;4,59E+15;;;
delegado 94: ;3.8;4,55E+15;;;
delegado 95: ;3.8;4,59E+15;;;
delegado 96: ;3.8;4,55E+15;;;
delegado 97: ;4.6;4,46E+15;;;
delegado 98: ;4.6;4,59E+15;;;
delegado 99: ;4.6;4,50E+15;;;
delegado 100: ;6.6;4,49E+15;;;
delegado 101: ;6.6;4,20E+15;;;
delegado 102: ;6.6;4,20E+15;;;
delegado 103: ;3.4;4,21E+15;;;
delegado 104: ;3.4;4,20E+15;;;
delegado 105: ;3.4;4,10E+15;;;
delegado 106: ;4.4;3,98E+15;;;
delegado 107: ;4.4;4,01E+15;;;
delegado 108: ;4.4;4,02E+15;;;
delegado 109: ;10.1;4,30E+15;;;
delegado 110: ;10.1;4,16E+15;;;
delegado 111: ;10.1;4,28E+15;;;
delegado 112: ;3.8;4,10E+15;;;
delegado 113: ;3.8;4,20E+15;;;
delegado 114: ;3.8;4,23E+15;;;
delegado 115: ;2.4;4,13E+15;;;
delegado 116: ;2.4;4,15E+15;;;
delegado 117: ;2.4;4,46E+15;;;
delegado 118: ;4.5;4,55E+15;;;
delegado 119: ;4.5;4,40E+15;;;
delegado 120: ;4.5;4,46E+15;;;
delegado 121: ;2.7;4,37E+15;;;
delegado 122: ;2.7;4,33E+15;;;
delegado 123: ;2.7;4,32E+15;;;
delegado 124: ;9;4,29E+15;;;
delegado 125: ;9;4,22E+15;;;
delegado 126: ;9;4,21E+15;;;
delegado 127: ;9.1;4,38E+15;;;
delegado 128: ;9.1;4,23E+15;;;
delegado 129: ;9.1;4,16E+15;;;
delegado 130: ;1.8;4,28E+15;;;
delegado 131: ;1.8;4,15E+15;;;
delegado 132: ;1.8;4,64E+15;;;
delegado 133: ;14.1;4,55E+15;;;
delegado 134: ;14.1;4,18E+15;;;
delegado 135: ;14.1;4,27E+15;;;
delegado 136: ;10.8;4,19E+15;;;
delegado 137: ;10.8;4,19E+15;;;
delegado 138: ;10.8;4,19E+15;;;
delegado 139: ;5.1;4,22E+15;;;
delegado 140: ;5.1;4,22E+15;;;
delegado 141: ;5.1;4,10E+15;;;
delegado 142: ;4.1;4,19E+15;;;
delegado 143: ;4.1;4,02E+15;;;
delegado 144: ;4.1;3,97E+15;;;
delegado 145: ;30.1;4,09E+15;;;
delegado 146: ;30.1;4,07E+15;;;
delegado 147: ;30.1;4,07E+15;;;
delegado 148: ;3.8;4,01E+15;;;
delegado 149: ;3.8;4,08E+15;;;
delegado 150: ;3.8;4,68E+15;;;
delegado 151: ;3.5;4,68E+15;;;
delegado 152: ;3.5;4,73E+15;;;
delegado 153: ;3.5;4,68E+15;;;
delegado 154: ;2.2;4,64E+15;;;
delegado 155: ;2.2;4,59E+15;;;
delegado 156: ;2.2;4,09E+15;;;
delegado 157: ;4.6;3,99E+15;;;
delegado 158: ;4.6;4,10E+15;;;
delegado 159: ;4.6;4,00E+15;;;
delegado 160: ;7.1;4,08E+15;;;
delegado 161: ;7.1;4,21E+15;;;
delegado 162: ;7.1;4,10E+15;;;
delegado 163: ;2.6;4,17E+15;;;
delegado 164: ;2.6;4,19E+15;;;
delegado 165: ;2.6;4,68E+15;;;
delegado 166: ;3.1;3,99E+15;;;
delegado 167: ;3.1;3,97E+15;;;
delegado 168: ;3.1;4,11E+15;;;
delegado 169: ;1.6;4,10E+15;;;
delegado 170: ;1.6;4,03E+15;;;
delegado 171: ;1.6;4,59E+15;;;
delegado 172: ;3.2;4,59E+15;;;
delegado 173: ;3.2;4,55E+15;;;
delegado 174: ;3.2;4,68E+15;;;
delegado 175: ;6.5;4,59E+15;;;
delegado 176: ;6.5;4,48E+15;;;
delegado 177: ;6.5;5,18E+15;;;
delegado 178: ;6.6;4,59E+15;;;
delegado 179: ;6.6;4,46E+15;;;
delegado 180: ;6.6;4,55E+15;;;
delegado 181: ;2.7;4,20E+15;;;
delegado 182: ;2.7;4,11E+15;;;
delegado 183: ;2.7;4,11E+15;;;
delegado 184: ;2.4;4,23E+15;;;
delegado 185: ;2.4;4,22E+15;;;
delegado 186: ;2.4;4,10E+15;;;
delegado 187: ;0;4,01E+15;;;
delegado 188: ;0;4,02E+15;;;
delegado 189: ;0;4,12E+15;;;
delegado 190: ;1;4,12E+15;;;
delegado 191: ;1;4,10E+15;;;
delegado 192: ;1;4,59E+15;;;
delegado 193: ;2.2;4,73E+15;;;
delegado 194: ;2.2;4,59E+15;;;
delegado 195: ;2.2;4,73E+15;;;
delegado 196: ;2.2;4,73E+15;;;
delegado 197: ;2.2;4,64E+15;;;
delegado 198: ;2.2;4,55E+15;;;
delegado 199: ;2.2;4,64E+15;;;
delegado 200: ;2.2;4,55E+15;;;
delegado 201: ;2.2;4,64E+15;;;
delegado 202: ;2.8;4,47E+15;;;
delegado 203: ;2.8;4,48E+15;;;
delegado 204: ;2.8;4,55E+15;;;
delegado 205: ;3;4,68E+15;;;
delegado 206: ;3;4,59E+15;;;
delegado 207: ;3;4,11E+15;;;
delegado 208: ;2.3;4,04E+15;;;
delegado 209: ;2.3;4,18E+15;;;
delegado 210: ;2.3;4,15E+15;;;
delegado 211: ;2.3;4,17E+15;;;
delegado 212: ;2.3;4,59E+15;;;
delegado 213: ;2.3;4,50E+15;;;
delegado 214: ;3.1;4,55E+15;;;
delegado 215: ;3.1;4,55E+15;;;
delegado 216: ;3.1;4,55E+15;;;
delegado 217: ;9.8;3,77E+15;;;
delegado 218: ;9.8;3,73E+15;;;
delegado 219: ;9.8;3,79E+15;;;
delegado 220: ;9.2;3,74E+15;;;
delegado 221: ;9.2;3,80E+15;;;
delegado 222: ;9.2;3,69E+15;;;
delegado 223: ;7.7;3,90E+15;;;
delegado 224: ;7.7;3,69E+15;;;
delegado 225: ;7.7;3,73E+15;;;
delegado 226: ;8;3,81E+15;;;
delegado 227: ;8;3,79E+15;;;
delegado 228: ;8;3,72E+15;;;
delegado 229: ;14.4;3,73E+15;;;
delegado 230: ;14.4;3,78E+15;;;
delegado 231: ;14.4;3,85E+15;;;
delegado 232: ;14;3,82E+15;;;
delegado 233: ;14;3,78E+15;;;
delegado 234: ;14;3,89E+15;;;
delegado 235: ;3.1;3,78E+15;;;
delegado 236: ;3.1;3,76E+15;;;
delegado 237: ;3.1;3,72E+15;;;
delegado 238: ;5.4;3,80E+15;;;
delegado 239: ;5.4;3,78E+15;;;
delegado 240: ;5.4;3,87E+15;;;
delegado 241: ;8.6;3,72E+15;;;
delegado 242: ;8.6;3,71E+15;;;
delegado 243: ;8.6;3,83E+15;;;
delegado 244: ;6.2;3,78E+15;;;
delegado 245: ;6.2;3,71E+15;;;
delegado 246: ;6.2;3,77E+15;;;
delegado 247: ;6;3,72E+15;;;
delegado 248: ;6;3,72E+15;;;
delegado 249: ;6;3,87E+15;;;
delegado 250: ;6.2;3,70E+15;;;
delegado 251: ;6.2;3,73E+15;;;
delegado 252: ;6.2;3,84E+15;;;
delegado 253: ;5.4;3,80E+15;;;
delegado 254: ;5.4;3,69E+15;;;
delegado 255: ;5.4;3,74E+15;;;
delegado 256: ;2.7;3,85E+15;;;
delegado 257: ;2.7;3,79E+15;;;
delegado 258: ;2.7;3,83E+15;;;
delegado 259: ;6.2;4,10E+15;;;
delegado 260: ;6.2;4,17E+15;;;
delegado 261: ;6.2;4,06E+15;;;
delegado 262: ;0.9;4,16E+15;;;
delegado 263: ;0.9;4,14E+15;;;
delegado 264: ;0.9;4,01E+15;;;
delegado 265: ;6.2;4,73E+15;;;
delegado 266: ;6.2;4,68E+15;;;
delegado 267: ;6.2;4,03E+15;;;
delegado 268: ;4.8;4,08E+15;;;
delegado 269: ;4.8;4,07E+15;;;
delegado 270: ;4.8;4,11E+15;;;
delegado 271: ;1.9;4,21E+15;;;
delegado 272: ;1.9;4,23E+15;;;
delegado 273: ;1.9;4,26E+15;;;
delegado 274: ;0.4;4,17E+15;;;
delegado 275: ;0.4;4,07E+15;;;
delegado 276: ;0.4;4,00E+15;;;
delegado 277: ;2.3;4,04E+15;;;
delegado 278: ;2.3;4,50E+15;;;
delegado 279: ;2.3;4,45E+15;;;
delegado 280: ;4.4;4,43E+15;;;
delegado 281: ;4.4;3,92E+15;;;
delegado 282: ;4.4;4,59E+15;;;
delegado 283: ;3.4;4,64E+15;;;
delegado 284: ;3.4;4,64E+15;;;
delegado 285: ;3.4;4,64E+15;;;
delegado 286: ;1.6;4,25E+15;;;
delegado 287: ;1.6;4,64E+15;;;
delegado 288: ;1.6;4,59E+15;;;
delegado 289: ;3.1;4,59E+15;;;
delegado 290: ;3.1;4,59E+15;;;
delegado 291: ;3.1;4,48E+15;;;
delegado 292: ;3.9;4,50E+15;;;
delegado 293: ;3.9;4,64E+15;;;
delegado 294: ;3.9;4,59E+15;;;
delegado 295: ;3.7;4,08E+15;;;
delegado 296: ;3.7;3,74E+15;;;
delegado 297: ;3.7;3,77E+15;;;
delegado 298: ;13.9;3,74E+15;;;
delegado 299: ;13.9;3,91E+15;;;
delegado 300: ;13.9;3,72E+15;;;
delegado 301: ;11.5;3,73E+15;;;
delegado 302: ;11.5;3,73E+15;;;
delegado 303: ;11.5;3,97E+15;;;
delegado 304: ;16.9;3,76E+15;;;
delegado 305: ;16.9;3,79E+15;;;
delegado 306: ;16.9;3,74E+15;;;
delegado 307: ;17.4;3,76E+15;;;
delegado 308: ;17.4;3,78E+15;;;
delegado 309: ;17.4;3,71E+15;;;
delegado 310: ;13.8;3,73E+15;;;
delegado 311: ;13.8;3,78E+15;;;
delegado 312: ;13.8;3,74E+15;;;
delegado 313: ;9;3,70E+15;;;
delegado 314: ;9;3,67E+15;;;
delegado 315: ;9;3,72E+15;;;
delegado 316: ;11.6;3,71E+15;;;
delegado 317: ;11.6;3,69E+15;;;
delegado 318: ;11.6;3,75E+15;;;
delegado 319: ;14.8;3,78E+15;;;
delegado 320: ;14.8;3,70E+15;;;
delegado 321: ;14.8;3,76E+15;;;
delegado 322: ;12.1;3,71E+15;;;
delegado 323: ;12.1;3,70E+15;;;
delegado 324: ;12.1;3,78E+15;;;
delegado 325: ;7.9;3,82E+15;;;
delegado 326: ;7.9;3,81E+15;;;
delegado 327: ;7.9;3,92E+15;;;
delegado 328: ;9.2;3,78E+15;;;
delegado 329: ;9.2;3,85E+15;;;
delegado 330: ;9.2;3,69E+15;;;
delegado 331: ;6.7;3,89E+15;;;
delegado 332: ;6.7;3,78E+15;;;
delegado 333: ;6.7;3,72E+15;;;
delegado 334: ;9.9;3,76E+15;;;
delegado 335: ;9.9;3,83E+15;;;
delegado 336: ;9.9;3,78E+15;;;
delegado 337: ;6.7;5,58E+15;;;
delegado 338: ;6.7;3,77E+15;;;
delegado 339: ;6.7;4,15E+15;;;
delegado 340: ;4;5,49E+15;;;
delegado 341: ;4;4,91E+15;;;
delegado 342: ;4;5,00E+15;;;
delegado 343: ;3.7;5,04E+15;;;
delegado 344: ;3.7;4,86E+15;;;
delegado 345: ;3.7;5,04E+15;;;
delegado 346: ;7.7;5,13E+15;;;
delegado 347: ;7.7;4,59E+15;;;
delegado 348: ;7.7;5,40E+15;;;
delegado 349: ;32.8;5,49E+15;;;
delegado 350: ;32.8;4,64E+15;;;
delegado 351: ;32.8;4,95E+15;;;
delegado 352: ;21.8;5,81E+15;;;
delegado 353: ;21.8;4,95E+15;;;
delegado 354: ;9.4;4,95E+15;;;
delegado 355: ;9.4;5,13E+15;;;
delegado 356: ;9.4;4,95E+15;;;
delegado 357: ;0.7;4,95E+15;;;
delegado 358: ;0.7;4,82E+15;;;
delegado 359: ;0.7;5,00E+15;;;
delegado 360: ;3.7;5,09E+15;;;
delegado 361: ;3.7;4,68E+15;;;
delegado 362: ;3.7;4,34E+15;;;
delegado 363: ;3.1;4,08E+15;;;
delegado 364: ;3.1;4,39E+15;;;
delegado 365: ;3.1;4,40E+15;;;
delegado 366: ;2.9;4,37E+15;;;
delegado 367: ;2.9;4,41E+15;;;
delegado 368: ;2.9;4,41E+15;;;
delegado 369: ;0.9;4,17E+15;;;
delegado 370: ;0.9;4,25E+15;;;
delegado 371: ;0.9;4,30E+15;;;
delegado 372: ;6.3;4,45E+15;;;
delegado 373: ;6.3;4,91E+15;;;
delegado 374: ;6.3;4,41E+15;;;
delegado 375: ;2.5;4,64E+15;;;
delegado 376: ;2.5;4,17E+15;;;
delegado 377: ;2.5;4,27E+15;;;
delegado 378: ;3.3;4,46E+15;;;
delegado 379: ;3.3;4,55E+15;;;
delegado 380: ;3.3;4,39E+15;;;
delegado 381: ;0.1;5,04E+15;;;
delegado 382: ;0.1;4,95E+15;;;
delegado 383: ;0.1;4,29E+15;;;
delegado 384: ;4.1;4,95E+15;;;
delegado 385: ;4.1;4,11E+15;;;
delegado 386: ;4.1;4,44E+15;;;
delegado 387: ;6.9;4,36E+15;;;
delegado 388: ;6.9;4,48E+15;;;
delegado 389: ;6.9;4,68E+15;;;
delegado 390: ;6.9;4,59E+15;;;
delegado 391: ;6.9;4,42E+15;;;
delegado 392: ;6.9;4,59E+15;;;
delegado 393: ;1;4,32E+15;;;
delegado 394: ;1;4,68E+15;;;
delegado 395: ;1;4,49E+15;;;
delegado 396: ;3.8;4,55E+15;;;
delegado 397: ;3.8;4,50E+15;;;
delegado 398: ;3.8;4,64E+15;;;
delegado 399: ;4.5;4,46E+15;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
